Policy Number,Quote Date,Quote Ref,Policy start date,Line of Business,Underwriter,Premium amount,Policy status,Last renewal date,Payment Method,Business source,Account number,Sort code,Cancel Date,Declared accident,Conviction,Title,First name,Surname,Gender,Address Postcode,Email,Phone,Voluntary Excess,Compulsory Excess,Occupation,NCB,Licence Years,Email Domain,Marital status ,Véhicule registration ,Make ,Model,Class of use,Cover type,Purchase Date,Storage,Vehicle value ,Date of Birth 
A76456909,Invalid Date,Q516552,10/04/2024,Private,Direct Line,441.23,Suspended,null,Cheque,Comparison Site,38279472,62899,null,No,null,Mr,Katie,smith ,Other,"1 Liverpool Road, B26 4XX",katie.smith@yahoo.com,7886993254,100,0,Driver,4,10,gmail.com,Divorced,MD19VAZ,Volkswagen,Golf,Commercial,Comprehensive,07/01/2022,Private Land,17058,20/02/1981
Q45845607,12/01/2024,Q823718,26/09/2024,Private,Tradex insurance,848.37,Pending,30/09/2024,paid in full,Comparison Site,93265818,68077,null,Yes,YES,Dr,Michael,Johnson,Other,"84 Manchester Road, L55 2XX",michael.johnson@yahoo.com,7990152140,500,100,Sales Assistant,4,10,Yahoo.com,Marriage,CA10YAB,Ford,Fiesta,Commercial,Third Party only,27/09/2022,Car Park,12619,27/09/1994
Q93841554,03/11/2024,Q185503,12/09/2025,Commercial,Tradex insurance,1495.23,Live,null,Monthly,Direct,86765745,95910,null,Yes,Yes,Miss,Harper,Williams,Male,"90 Bristol Road, G24 2XX",harper.williams@hotmail.com,7348414434,500,0,Driver,12,1,Hotmail.com,Living with partner,GP13YAB,Volkswagen,Golf,Commercial,Comprehensive,null,Garage,31350,30/06/1971
H47513026,13/09/2025,Q218956,13/07/2024,Private,Markerstudy Insurance,736.28,Suspended,null,Cheque,Broker,75761435,71992,null,YES,NO,Ms,Thomas,Green,Female,"55 London Road, L40 7XX",thomas.green@yahoo.com,7597852410,500,50,Driver,3,17,Yahoo.com,Widowed,GP16YAZ,BMW,5 Series,Social & Commuting,Third Party fire,09/05/2015,Car Park,36529,25/10/1989
A25781278,02/06/2025,Q559257,22/05/2025,Commercial,AXA,329.38,Suspended,null,Monthly,Broker,74245252,54152,31/10/2024,No,Yes,Dr,Harper,Robinson,Female,"40 Birmingham Road, M27 7XX",harper.robinson@hotmail.com,7537204818,0,0,Doctor,9,0,Gmail.com,Living with partner,LD25XAZ,Mercedez,C Class,Social & Commuting,Comprehensive,20/02/2017,Car Park,3443,Invalid Date
H62749522,08/06/2024,Q338742,21/06/2024,Commercial,Direct Line,1207.15,lapse,null,Credit Card,Broker,59986166,93188,null,YES,null,Dr,Charles,davies ,Other,"93 Leeds Road, L61 9XX",charles.davies@gmail.com,7653039366,100,50,Personla Trainer,9,17,Hotmail.com,Married,GA17VYZ,Toyota,Yaris,Commercial,Third Party only,16/06/2017,Private Land,6770,21/10/1994
P92605334,21/01/2025,Q583494,null,Commercial,Aviva,1075.41,Live,07/05/2024,Direct debit,Comparison Site,53650415,46493,null,null,null,Dr,William,Hall,Other,"1 Bristol Road, G73 7XX",william.hall@hotmail.com,7176152419,500,0,IT Consultant,1,3,Hotmail.com,Divorced,CD17YAB,Volkwagen,Polo,Social & Commuting,Third Party fire,27/02/2021,Driveway,42811,21/11/1976
H36860550,23/11/2025,Q228568,15/11/2025,Private,Allianz,1838.64,Pending,null,Monthly,Comparison Site,55931084,38295,null,YES,YES,Mr,Michael,Smith,Female,"91 London Road, G33 7XX",michael.smith@hotmail.com,7474974302,0,100,Accountant,12,20,Hotmail.com,Widowed,CD19XAZ,Ford,Focus,Commercial,Third Party fire,23/05/2022,Private Land,18927,11/08/1978
Q21064517,01/01/2024,Q416725,20/10/2025,Private,Allianz,1435.63,Pending,null,Cheque,Aggregator,93274693,17448,null,NO,YES,Mr,Joseph,Stick,Other,"92 Edinburgh Road, L38 9XX",joseph.stick@yahoo.com,7280069377,100,50,Accountant,5,17,gmail.com,Widowed,GP12YZC,BMW,3 Series,Social & Commuting,Third Party fire,07/10/2023,Driveway,27183,Invalid Date
Mf78438617,06/11/2024,Q333680,null,Private,Tradex insurance,464.4,Cancelled,15/03/2024,Cheque,Broker,86115107,53888,08/06/2025,YES,null,Mx,Thomas,North,Other,"43 London Road, B21 5XX",thomas.north@hotmail.com,7737623121,100,50,Student,3,2,Yahoo.com,Married,GA20YZZ,Ford,Focus,Commercial,Third Party fire,26/05/2020,Garage,44710,27/04/1999
H93346451,05/08/2024,Q324341,29/07/2025,Private,Markerstudy Insurance,1038.39,Pending,null,Cheque,Broker,35621811,72957,02/01/2024,Yes,null,Mr,Olivia,Wright,Female,"15 Glasgow Road, L69 7XX",olivia.wright@gmail.com,7791437491,100,0,Doctor,13,12,gmail.com,Single,LP22YYZ,Mercedes,A Class,Social only,Third Party only,28/02/2023,Private Land,22002,28/09/1977
P41303079,21/11/2025,Q356477,27/12/2025,Commercial,AXA,1731.54,lapse,22/01/2024,paid in full,Direct,68719261,42065,null,No,Yes,Dr,Isabella,Smith,Other,"43 Liverpool Road, G10 5XX",isabella.smith@gmail.com,7130343732,100,0,Engineer,11,9,gmail.com,Widowed,LP10VZB,Ford,Mondeo,Social only,Comprehensive,03/08/2017,Car Park,29906,10/04/1995
Mf70335180,09/04/2024,Q208732,26/12/2024,Private,Allianz,440.27,lapse,null,Credit Card,Comparison Site,87814968,52689,null,Yes,NO,Dr,Isabella,Smith,Male,"26 Manchester Road, M50 2XX",isabella.smith@yahoo.com,7612988339,250,100,Driver,4,19,Gmail.com,Marriage,GP22YZC,Volkswagen,Polo,Social & Commuting,Third Party only,22/11/2023,Private Land,29431,18/08/1960
Mf71647377,10/09/2024,Q913981,28/02/2024,Commercial,AXA,881.72,Cancelled,11/03/2024,Direct debit,Comparison Site,18500448,71403,null,null,NO,Mr,Emma,Davies,Male,"24 Edinburgh Road, M31 9XX",emma.davies@yahoo.com,7403092140,500,0,Unemployed,12,13,Gmail.com,Divorced,LA16YAZ,Volkwagen,Polo,Social only,Third Party fire,20/09/2023,Private Land,37876,07/06/1980
Q94315866,01/04/2024,Q928564,07/02/2024,Commercial,AXA,$1636.65,Pending,null,paid in full,Comparison Site,44285217,59606,null,NO,NO,Mr,Emma,johnson ,Male,"46 Birmingham Road, L87 9XX",emma.johnson@gmail.com,7565381088,500,100,Student,6,19,gmail.com,Divorced,MD11XAC,Mercedez,C Class,Business use,Comprehensive,21/07/2015,Street,20187,08/10/1984
Mf76365128,16/10/2024,Q270348,21/01/2025,Commercial,AXA,1104.91,Cancelled,06/11/2023,Monthly,Direct,99113618,75214,16/11/2024,YES,YES,Dr,David,Brown,Other,"90 Leeds Road, B97 3XX",david.brown@yahoo.com,7992057153,100,50,Personal Trainer,2,16,gmail.com,Living with partner,CP23YAB,Mercedes,A Class,Social only,Comprehensive,01/02/2022,Garage,11387,16/08/1990
A36234124,27/08/2024,Q437985,05/10/2024,Commercial,Aviva,269.04,Pending,null,Direct debit,Comparison Site,58783738,94214,null,NO,No,Ms,Sarah,Wilson,Male,"37 Edinburgh Road, G87 3XX",sarah.wilson@gmail.com,7588675354,100,200,Retired,1,11,Yahoo.com,Single,LD12YZC,Mercedez,C Class,Commercial,Comprehensive,27/03/2016,Car Park,26544,29/07/2002
H82645325,01/09/2024,Q784111,20/05/2025,Private,Zurich,1451.82,Live,null,paid in full,Aggregator,14877696,89799,null,null,YES,Mx,John,Wilson,Male,"15 Manchester Road, L59 5XX",john.wilson@yahoo.com,7228538332,0,200,Teacher,3,4,Gmail.com,Living with partner,LD17YZZ,Volkswagen,Golf,Business use,Third Party only,05/10/2023,Driveway,6460,04/08/1984
Mf74897986,09/09/2025,Q453976,30/11/2025,Commercial,Markerstudy Insurance,261.2,Live,null,Direct debit,Direct,95770989,76981,15/02/2024,YES,YES,Ms,Harper,Jones,Female,"34 London Road, M56 2XX",harper.jones@hotmail.com,7964945706,500,200,Doctor,4,9,gmail.com,Living with partner,LD25YYC,Mercedez,C Class,Social only,Comprehensive,null,Garage,40560,10/01/1999
H44283176,11/12/2025,Q866025,03/04/2024,Commercial,Markerstudy Insurance,726.46,Suspended,29/05/2024,Cheque,Comparison Site,83125640,12011,16/10/2025,YES,null,Mrs,Thomas,Wright,Male,"28 Edinburgh Road, B78 1XX",thomas.wright@yahoo.com,7130099606,250,200,Manager,10,15,Gmail.com,Married,MD15YZZ,Audi,A3,Commercial,Comprehensive,18/12/2015,Street,16889,19/12/1976
P92987029,null,Q561281,29/11/2024,Commercial,Markerstudy Insurance,292.43 USD,Pending,null,paid in full,Comparison Site,16627998,60124,null,null,No,Ms,John,Wood,Male,"18 Manchester Road, B20 5XX",john.wood@hotmail.com,7605597610,100,50,Accountant,2,10,gmail.com,Widowed,CA12XZB,BMW,5 Series,Commercial,Third Party fire,18/07/2020,Street,32070,16/06/1971
A19772195,22/09/2025,Q928307,04/04/2025,Commercial,AXA,449,Suspended,null,Cheque,Broker,63943832,65849,27/12/2024,NO,Yes,Dr,Harper,Smith,Female,"65 Liverpool Road, G14 3XX",harper.smith@yahoo.com,7718872542,250,200,Sales Assistant,2,20,Hotmail.com,Marriage,LP23XAB,Audi,Q5,Business use,Third Party only,27/01/2019,Private Land,14270,16/10/1982
Mf53866071,25/08/2025,Q473222,19/09/2024,Private,Direct Line,-1101.04,Live,null,Cheque,Broker,18685759,98044,null,NO,YES,Mr,Joseph,Evans,Other,"48 Glasgow Road, B26 7XX",joseph.evans@hotmail.com,7233564698,250,0,Retired,4,14,Gmail.com,Widowed,MD17YYZ,BMW,X5,Social only,Third Party fire,28/08/2016,Car Park,26459,29/01/1976
Mf85381741,24/10/2025,Q504182,02/09/2025,Private,Aviva,724.6,Cancelled,null,Monthly,Direct,28425250,55811,null,NO,NO,Ms,Emma,Wood,Male,"29 Edinburgh Road, L18 7XX",emma.wood@gmail.com,7330654258,0,100,Driver,5,16,gmail.com,Single,GA23XAC,Mercedez,C Class,Business use,Third Party only,24/02/2015,Private Land,46776,05/11/1969
P37720524,07/07/2025,Q585019,04/11/2025,Commercial,Aviva,1075.03,Pending,null,Credit Card,Aggregator,27373436,29926,null,No,YES,Miss,William,Thompson,Female,"22 Edinburgh Road, G80 9XX",william.thompson@gmail.com,7981198740,0,200,Nurse,14,13,Gmail.com,Marriage,GD10VYC,Volkwagen,Golf,Social & Commuting,Third Party fire,24/01/2015,Private Land,10327,20/11/1967
H85469306,01/09/2025,Q696423,20/10/2025,Commercial,AXA,406.48,Cancelled,null,Credit Card,Aggregator,64695418,62724,null,YES,NO,Miss,Sophia,Davies,Other,"53 Leeds Road, B62 4XX",sophia.davies@yahoo.com,7669240116,500,100,Teacher,13,9,Yahoo.com,Living with partner,GD20YAB,Toyota,RAV4,Business use,Third Party fire,29/10/2015,Garage,7085,22/11/1982
Mf61631007,16/09/2024,Q408147,03/06/2024,Commercial,Zurich,1994.02,Pending,15/11/2023,Cheque,Broker,67645881,28713,null,No,NO,Miss,John,White,Female,"37 Manchester Road, G12 4XX",john.white@yahoo.com,7579808558,0,100,Sales Assistant,3,18,Yahoo.com,Living with partner,MP22XYC,Audi,A3,Social & Commuting,Third Party only,01/08/2016,Private Land,49349,09/04/1987
P28193917,null,Q400448,24/10/2025,Private,Markerstudy Insurance,554.69,Live,null,Cheque,Comparison Site,70481777,39872,null,No,null,Ms,Emily,Stick,Female,"31 Edinburgh Road, L14 6XX",emily.stick@yahoo.com,7150402463,500,50,Unemployed,13,4,Hotmail.com,Widowed,GP21VYB,Toyota,RAV4,Social & Commuting,Third Party only,10/11/2021,Garage,3630,04/06/2003
A68605085,05/07/2024,Q208664,09/12/2025,Private,Tradex insurance,1082.78,lapse,14/05/2024,Monthly,Direct,28252309,59621,30/09/2025,YES,No,Mx,Katie,Jones,Male,"61 Liverpool Road, M7 8XX",katie.jones@yahoo.com,7715444511,500,200,Nurse,0,7,Yahoo.com,Widowed,GP12VZC,Mercedez,C Class,Social only,Third Party only,20/12/2019,Private Land,5396,19/01/2001
Mf40566021,17/11/2024,Q936089,21/10/2025,Private,Markerstudy Insurance,443.25,lapse,15/04/2023,Direct debit,Aggregator,18570434,82451,null,No,Yes,Mr,Emily,Davies,Female,"83 London Road, L24 4XX",emily.davies@gmail.com,7267073136,250,0,Student,8,7,Hotmail.com,Divorced,GA11VYC,Volkswagen,Polo,Social & Commuting,Third Party fire,04/03/2017,Garage,24091,08/04/1961
Mf18868346,13/07/2024,Q602181,29/03/2025,Commercial,AXA,245.93,Suspended,null,Credit Card,Comparison Site,34954890,36735,null,null,No,Mx,David,Evans,Male,"97 Birmingham Road, B10 8XX",david.evans@hotmail.com,7273982683,250,50,Unemployed,15,12,Yahoo.com,Widowed,MP22YYZ,Audi,A3,Commercial,Comprehensive,19/10/2023,Car Park,34954,28/06/1982
A14266338,Invalid Date,Q337662,07/12/2024,Commercial,Allianz,1086.95,Cancelled,null,Direct debit,Direct,97981755,94222,null,NO,null,Mx,John,Williams,Female,"96 Birmingham Road, L16 5XX",john.williams@gmail.com,7441901085,100,0,Personal Trainer,10,4,Gmail.com,Divorced,MA14YAB,Toyota,RAV4,Commercial,Third Party fire,30/06/2017,Driveway,37129,04/06/1983
Mf34182304,09/07/2024,Q291750,18/03/2024,Private,Tradex insurance,1394.28,Suspended,null,Direct debit,Aggregator,95783159,73864,null,null,NO,Mx,Mia,Brown,Other,"18 Liverpool Road, L79 1XX",mia.brown@hotmail.com,7631822612,0,50,Doctor,15,14,Yahoo.com,Divorced,CP20YZC,Volkswagen,Passat,Social & Commuting,Third Party only,23/12/2023,Car Park,26902,01/04/1974
Mf61414958,14/08/2024,Q779125,07/03/2024,Commercial,Direct Line,1444.24,Cancelled,03/05/2023,paid in full,Broker,84004120,15838,null,null,YES,Ms,Olivia,Johnson,Female,"95 Bristol Road, L39 7XX",olivia.johnson@yahoo.com,7687030357,500,100,Retired,1,12,Yahoo.com,Marriage,LD12XZC,Toyota,Corolla,Social only,Third Party only,12/04/2023,Car Park,24673,25/10/1973
Mf15843560,04/07/2024,Q953343,23/02/2025,Commercial,Direct Line,1407.05,lapse,null,Monthly,Broker,81008056,48677,null,NO,NO,Mx,Harper,Evans,Other,"86 Bristol Road, M89 7XX",harper.evans@gmail.com,7389529233,250,100,Engineer,6,18,gmail.com,Marriage,CP23VYZ,Audi,A3,Commercial,Third Party fire,12/05/2017,Garage,19804,14/03/2002
P53364814,31/03/2025,Q862782,28/05/2024,Commercial,Markerstudy Insurance,1866.08,lapse,null,Direct debit,Comparison Site,21453235,96344,null,YES,Yes,Mr,William,green ,Male,"65 Glasgow Road, L66 5XX",william.green@gmail.com,7919377833,100,200,Driver,11,5,gmail.com,Widowed,CP11XZB,Mercedes,E Class,Commercial,Third Party only,12/05/2019,Garage,31526,29/10/1969
Q57516681,23/03/2024,Q208888,null,Private,Tradex insurance,832.18,Pending,null,paid in full,Aggregator,80174254,93008,null,YES,YES,Mrs,Isabella,Johnson,Male,"65 Birmingham Road, G51 2XX",isabella.johnson@yahoo.com,7402646910,100,100,Unemployed,1,4,Hotmail.com,Marriage,MA16VYB,Toyota,Yaris,Commercial,Third Party only,17/04/2016,Driveway,14180,19/01/1997
H50218448,28/06/2025,Q493728,13/06/2025,Private,Markerstudy Insurance,1261.66,Cancelled,null,Credit Card,Aggregator,66090602,33498,19/12/2024,No,NO,Mrs,Robert,Walker,Male,"92 Glasgow Road, G1 4XX",robert.walker@yahoo.com,7852546289,250,0,Accountant,10,6,Yahoo.com,Married,GD16XZB,Audi,A3,Commercial,Third Party fire,05/04/2018,Garage,26641,20/10/1966
Q79529612,18/09/2024,Q415086,09/05/2025,Commercial,Aviva,572.84 USD,lapse,null,Credit Card,Comparison Site,49315142,61567,null,Yes,NO,Ms,Mia,Green,Female,"26 Bristol Road, L46 1XX",mia.green@hotmail.com,7522635906,250,0,Sales Assistant,5,13,Gmail.com,Widowed,GP20VYB,Volkswagen,Polo,Commercial,Comprehensive,09/03/2022,Driveway,13848,20/11/1965
P47574986,24/03/2024,Q142864,08/05/2025,Commercial,AXA,299.39,lapse,null,Credit Card,Aggregator,48232232,99586,null,No,NO,Miss,David,Green,Male,"32 Glasgow Road, B10 5XX",david.green@gmail.com,7903360578,0,50,Driver,5,4,Hotmail.com,Marriage,CP11YZC,Ford,Fiesta,Social & Commuting,Third Party fire,09/10/2019,Garage,25577,05/12/1964
H49815490,21/06/2024,Q537010,26/03/2025,Private,Allianz,205.6,Suspended,null,Cheque,Aggregator,86380702,46285,null,null,Yes,Miss,James,Brown,Female,"8 Birmingham Road, M35 2XX",james.brown@gmail.com,7771960647,250,50,IT Consultant,5,17,Hotmail.com,Marriage,GP16XYB,Toyota,RAV4,Social & Commuting,Comprehensive,28/06/2021,Car Park,40006,07/04/1996
P91393037,10/03/2025,Q686526,03/04/2025,Commercial,Zurich,108.93,Suspended,null,Direct debit,Broker,68914898,36616,null,YES,NO,Dr,Robert,White,Female,"34 Manchester Road, L55 1XX",robert.white@yahoo.com,7774932614,250,200,Sales Assistant,0,17,Yahoo.com,Marriage,LD16YAZ,Mercedez,C Class,Social & Commuting,Comprehensive,30/06/2020,Driveway,49698,18/07/1979
A43706582,10/03/2024,Q767909,13/01/2024,Private,Tradex insurance,400.98,Pending,04/05/2023,Direct debit,Broker,15696105,94179,null,null,Yes,Mx,Emma,White,Female,"96 Edinburgh Road, L23 3XX",emma.white@hotmail.com,7514297988,250,200,Engineer,11,7,Yahoo.com,Divorced,MD17XYZ,Volkswagen,Passat,Social & Commuting,Third Party fire,21/09/2019,Car Park,36099,02/02/1973
P91855904,01/03/2024,Q944550,07/08/2025,Private,Direct Line,-503.56,Cancelled,null,Credit Card,Broker,67270185,32262,null,null,NO,Miss,Emily,Walker,Female,"72 London Road, G52 6XX",emily.walker@hotmail.com,7204477327,0,50,Personla Trainer,15,11,Yahoo.com,Marriage,MP18YYZ,Toyota,Corolla,Social only,Comprehensive,14/12/2021,Street,1141,01/04/1960
A85171154,22/05/2025,Q270620,28/02/2025,Private,Zurich,1724.03,Cancelled,null,paid in full,Direct,36785688,34571,null,YES,null,Ms,Michael,Evans,Female,"38 London Road, B2 9XX",michael.evans@hotmail.com,7247843254,100,0,Sales Assistant,2,15,Gmail.com,Single,CP23VAB,Audi,A3,Commercial,Third Party only,27/09/2015,Garage,36697,15/12/2001
Q16148959,16/08/2025,Q556912,Invalid Date,Commercial,Markerstudy Insurance,695.32,Live,04/10/2024,Monthly,Aggregator,94745999,86225,null,YES,NO,Ms,Mia,taylor ,Male,"29 Birmingham Road, M25 5XX",mia.taylor@hotmail.com,7796847140,500,50,Engineer,12,8,gmail.com,Widowed,LP17VYC,BMW,3 Series,Social & Commuting,Third Party fire,07/07/2022,Car Park,7447,13/05/2003
Q21064517,01/01/2024,Q416725,20/10/2025,Private,Allianz,1435.63,Pending,null,Cheque,Aggregator,93274693,17448,null,NO,YES,Mr,Joseph,Stick,Other,"92 Edinburgh Road, L38 9XX",joseph.stick@yahoo.com,7280069377,100,50,Accountant,5,17,gmail.com,Widowed,GP12YZC,BMW,3 Series,Social & Commuting,Third Party fire,07/10/2023,Driveway,27183,Invalid Date
Q76570984,10/10/2025,Q239564,07/04/2024,Private,Zurich,357.48,Pending,Invalid Date,Cheque,Broker,71873234,27028,null,NO,null,Mx,Sophia,Johnson,Other,"15 London Road, L61 4XX",sophia.johnson@hotmail.com,7281736511,250,200,Retired,2,4,Yahoo.com,Married,LP13YYC,Volkwagen,Golf,Business use,Comprehensive,19/07/2017,Garage,21478,29/06/2005
A93504727,24/10/2025,Q866994,12/03/2025,Commercial,Tradex insurance,375.45 USD,Suspended,null,Credit Card,Direct,93793245,46640,null,null,NO,Mrs,David,Davies,Male,"82 Leeds Road, M21 4XX",david.davies@yahoo.com,7374848389,0,200,Sales Assistant,11,2,Gmail.com,Marriage,LA15VZB,Ford,Fiesta,Business use,Third Party only,05/09/2023,Private Land,32711,07/10/1987
Q35491018,20/11/2025,Q524995,17/09/2025,Private,Allianz,1349.82,Live,null,Cheque,Direct,85564911,27691,null,null,NO,Miss,Sophia,Jones,Other,"27 Liverpool Road, L69 7XX",sophia.jones@hotmail.com,7745502912,250,200,Engineer,11,17,gmail.com,Marriage,CA14YZZ,Volkwagen,Polo,Social only,Third Party only,Invalid Date,Garage,30012,02/09/1993
Mf16017904,20/09/2025,Q533446,12/03/2025,Private,Allianz,791.99,Pending,null,Credit Card,Broker,69870042,77712,null,No,NO,Miss,Robert,Hall,Male,"83 Glasgow Road, L87 6XX",robert.hall@hotmail.com,7826089721,250,50,Sales Assistant,4,10,Yahoo.com,Married,MP19XAZ,Ford,Fiesta,Social only,Third Party only,05/02/2021,Private Land,32172,10/02/1979
Mf62698370,11/08/2024,Q592911,Invalid Date,Commercial,Zurich,1819.78,lapse,null,paid in full,Broker,12361236,23093,null,null,No,Mx,Olivia,Thompson,Other,"11 Birmingham Road, G29 2XX",olivia.thompson@hotmail.com,7550710630,250,100,Nurse,5,18,Gmail.com,Single,LD23YZB,Mercedes,E Class,Social & Commuting,Comprehensive,11/06/2023,Car Park,24269,23/08/1984
Q80380730,19/05/2025,Q301552,10/12/2024,Commercial,AXA,247.91,Live,19/10/2024,paid in full,Broker,62906618,48707,null,No,YES,Miss,Thomas,Hall,Other,"33 Birmingham Road, L62 7XX",thomas.hall@hotmail.com,7942179515,250,100,Engineer,13,4,gmail.com,Married,GA11VYC,Volkwagen,Polo,Social only,Third Party fire,12/01/2016,Driveway,17045,11/11/1968
P22199230,09/07/2024,Q505741,25/02/2025,Commercial,Allianz,1132.42,Live,null,Credit Card,Direct,29515488,57006,null,No,YES,Miss,Michael,Hall,Female,"7 Bristol Road, G41 7XX",michael.hall@hotmail.com,7228037687,100,200,Doctor,15,5,Hotmail.com,Single,MP11YYB,Mercedes,E Class,Social only,Comprehensive,11/09/2015,Car Park,2990,25/12/1993
Mf87669328,17/07/2025,Q399692,27/12/2025,Commercial,Direct Line,1931.99,Suspended,null,paid in full,Aggregator,76730821,99675,null,Yes,NO,Miss,David,hall ,Other,"64 Manchester Road, B11 3XX",david.hall@gmail.com,7751786401,500,200,Manager,11,18,Gmail.com,Living with partner,GD23VAZ,Audi,Q5,Business use,Third Party only,03/02/2023,Car Park,1318,25/08/1995
P54936278,10/08/2024,Q485951,20/09/2025,Private,Aviva,257.04,lapse,null,paid in full,Comparison Site,50187277,14382,null,null,null,Ms,John,Green,Other,"32 Liverpool Road, B26 3XX",john.green@hotmail.com,7249904450,100,50,Student,4,5,Hotmail.com,Marriage,MD10VZZ,Audi,A3,Social only,Third Party only,02/07/2020,Garage,32746,22/07/1990
A93699236,04/07/2024,Q284203,28/04/2025,Private,Direct Line,1153.24,Pending,null,Monthly,Aggregator,20354801,25671,null,null,NO,Dr,Harper,Walker,Other,"83 Manchester Road, M57 7XX",harper.walker@hotmail.com,7549103123,500,0,Engineer,15,10,Yahoo.com,Divorced,MP24YZZ,Mercedez,C Class,Business use,Third Party fire,22/06/2019,Garage,42098,18/04/2002
H49995919,24/07/2024,Q387513,22/06/2024,Private,Markerstudy Insurance,1907.32,Live,null,Monthly,Direct,77618120,98378,null,YES,NO,Ms,Sarah,Johnson,Female,"99 Birmingham Road, M49 6XX",sarah.johnson@hotmail.com,7695934383,0,0,Doctor,15,19,gmail.com,Living with partner,MP13VAC,Audi,A3,Social only,Comprehensive,18/08/2023,Driveway,24479,20/08/1987
H12269114,21/02/2024,Q989515,03/05/2025,Commercial,Allianz,1619.76,lapse,null,Credit Card,Direct,20364138,65219,null,Yes,null,Miss,John,Thompson,Female,"37 London Road, L33 1XX",john.thompson@yahoo.com,7570855011,100,100,Student,3,9,Yahoo.com,Divorced,GP10VZC,Audi,A3,Social only,Comprehensive,21/08/2023,Garage,17136,14/01/1997
Q91903192,20/12/2025,Q368408,02/12/2025,Commercial,Zurich,1921.17,Live,null,Monthly,Direct,43720481,78572,null,No,No,Ms,Sarah,Thompson,Female,"63 Liverpool Road, L77 6XX",sarah.thompson@hotmail.com,7637324936,0,100,Manager,12,14,gmail.com,Divorced,CA16YAB,Audi,Q5,Social & Commuting,Third Party fire,16/07/2023,Street,32447,10/05/1968
H31483945,15/08/2025,Q469160,19/11/2024,Private,AXA,227.46,lapse,04/12/2024,paid in full,Aggregator,16070718,64197,null,YES,NO,Mx,Olivia,White,Other,"23 Edinburgh Road, M63 7XX",olivia.white@hotmail.com,7701333742,250,50,Nurse,3,14,Yahoo.com,Widowed,CP23YAZ,Volkwagen,Golf,Business use,Third Party only,14/01/2019,Private Land,19298,19/12/1990
H47311060,27/07/2025,Q540219,02/05/2024,Private,Markerstudy Insurance,1511.87,Cancelled,null,Monthly,Direct,16155903,61957,null,No,No,Mrs,Michael,Robinson,Other,"81 London Road, B6 8XX",michael.robinson@gmail.com,7738666410,500,50,Personla Trainer,0,14,Hotmail.com,Living with partner,CD19YAB,Volkwagen,Golf,Social & Commuting,Third Party fire,Invalid Date,Driveway,41545,11/07/1992
Mf62388895,12/05/2024,Q263008,20/06/2025,Commercial,Allianz,1580.34,Pending,null,paid in full,Aggregator,20778653,30095,null,YES,null,Ms,Emma,evans ,Female,"31 Leeds Road, L9 9XX",emma.evans@gmail.com,7971176555,250,100,Student,15,20,Yahoo.com,Widowed,MD25XYB,Ford,Fiesta,Business use,Comprehensive,08/04/2019,Garage,11777,22/01/1996
Mf16478726,02/10/2025,Q968340,22/01/2024,Commercial,Zurich,653.14,Live,25/01/2023,paid in full,Comparison Site,61827173,98086,null,Yes,YES,Miss,David,Hall,Male,"30 Birmingham Road, G88 4XX",david.hall@hotmail.com,7681489671,0,50,Engineer,8,0,Gmail.com,Widowed,MA17XAB,Toyota,Yaris,Business use,Third Party only,null,Private Land,26414,14/04/1983
P39906630,07/03/2024,Q479591,20/04/2024,Private,Tradex insurance,735.68,Live,null,Cheque,Broker,44075509,73646,null,null,NO,Ms,Mia,Robinson,Other,"37 Glasgow Road, B50 8XX",mia.robinson@yahoo.com,7669129943,0,100,Accountant,6,18,Hotmail.com,Marriage,CP18YYC,Ford,Mondeo,Social & Commuting,Comprehensive,27/06/2023,Driveway,13144,17/09/1991
Mf36488831,25/01/2024,Q560671,14/01/2025,Commercial,Aviva,784.92,lapse,null,Monthly,Aggregator,23945180,27716,null,Yes,null,Dr,James,Smith,Female,"69 London Road, M24 4XX",james.smith@gmail.com,7595303622,100,200,IT Consultant,11,15,Gmail.com,Married,CA17VAC,Ford,Fiesta,Social only,Third Party fire,07/08/2019,Car Park,10733,29/09/1980
A84280428,01/11/2024,Q890193,27/10/2024,Private,Markerstudy Insurance,415.12,Live,null,Monthly,Direct,84084409,39117,null,NO,Yes,Dr,Emma,Stick,Other,"17 Glasgow Road, M84 9XX",emma.stick@hotmail.com,7760650479,0,200,Personla Trainer,1,12,Yahoo.com,Living with partner,CD23YZB,Audi,A4,Social & Commuting,Comprehensive,18/08/2017,Private Land,6536,14/05/1983
A40769965,21/08/2025,Q946782,13/05/2024,Private,AXA,1400.29,Suspended,null,Credit Card,Broker,41177037,63004,26/07/2025,Yes,Yes,Mx,William,Williams,Female,"3 Manchester Road, L66 8XX",william.williams@yahoo.com,7152395665,250,50,Engineer,10,19,Hotmail.com,Widowed,LA11VYZ,Volkswagen,Passat,Business use,Third Party only,26/12/2021,Garage,11490,23/02/1960
Q70492465,27/10/2025,Q622940,11/05/2025,Commercial,Direct Line,664.14,Live,27/04/2023,Credit Card,Broker,79947460,62385,null,NO,Yes,Mrs,Michael,evans ,Female,"92 Glasgow Road, B86 9XX",michael.evans@gmail.com,7130454886,0,100,IT Consultant,2,8,gmail.com,Divorced,GD12VAB,Audi,A4,Social & Commuting,Comprehensive,12/12/2023,Car Park,5919,18/12/1976
